Date,P1,P2,Reg,Ratio,True Ratio,Weight P1,Weight P2,Earnings P1,Earnings P2,Total Daily Earnings,prev_weight_p1,prev_weight_p2,Strategy Daily Returns,Log returns
1990-12-12,4.42,4.79,0.011391448718841346,1,0.9227557411273486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-12-13,4.46,4.84,-0.0025775945616306473,1,0.9214876033057852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-12-14,4.43,4.76,-0.007650493751694576,1,0.930672268907563,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1990-12-17,4.31,4.74,-0.0024507563655715714,1,0.9092827004219408,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1990-12-18,4.3,4.81,0.012254756462192873,1,0.893970893970894,1.1186046511627907,-1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-12-19,4.28,4.77,0.0004846575686299204,1,0.8972746331236898,1.1144859813084111,-1.0,-0.022372093023255338,0.040000000000000036,0.017627906976744698,1.1186046511627907,-1.0,0.0019478350250546625,0.0019459404542208564
1990-12-20,4.2,4.73,-0.0002725909789260683,1,0.8879492600422833,1.1261904761904762,-1.0,-0.08948837209302334,0.03999999999999915,-0.04948837209302419,1.1186046511627907,-1.0,-0.005541810984661164,-0.005557223788762739
1990-12-21,4.18,4.72,0.0049555912136423075,1,0.885593220338983,1.1291866028708135,-1.0,-0.02237209302325633,0.010000000000000675,-0.012372093023255655,1.1186046511627907,-1.0,-0.0013901228116017593,-0.0013910899286957077
1990-12-24,4.19,4.71,-0.0056222377035899385,1,0.8895966029723993,1.1241050119331741,-1.0,0.011186046511628663,0.009999999999999787,0.021186046511628448,1.1186046511627907,-1.0,0.0023804546642279155,0.0023776258703446435
1990-12-25,4.19,4.71,0.0,1,0.8895966029723993,1.1241050119331741,-1.0,0.0,-0.0,0.0,1.1186046511627907,-1.0,0.0,0.0
1990-12-26,4.19,4.71,0.0029057469443340977,1,0.8895966029723993,1.1241050119331741,-1.0,0.0,-0.0,0.0,1.1186046511627907,-1.0,0.0,0.0
1990-12-27,4.19,4.62,-0.0077675006713233685,1,0.906926406926407,0.0,0.0,0.0,0.08999999999999986,0.08999999999999986,1.1186046511627907,-1.0,0.010215664018161165,0.01016383679000604
1990-12-28,4.16,4.66,0.0012785000676078795,1,0.8927038626609443,1.1201923076923077,-1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-12-31,4.16,4.66,0.004552774428532302,1,0.8927038626609443,1.1201923076923077,-1.0,0.0,-0.0,0.0,1.1201923076923077,-1.0,0.0,0.0
1991-01-01,4.16,4.66,0.0,1,0.8927038626609443,1.1201923076923077,-1.0,0.0,-0.0,0.0,1.1201923076923077,-1.0,0.0,0.0
1991-02-01,4.19,4.56,-0.011451669277797727,1,0.9188596491228072,0.0,0.0,0.03360576923076951,0.10000000000000053,0.13360576923077006,1.1201923076923077,-1.0,0.015269230769230863,0.015153829310051364
1991-03-01,4.2,4.62,-0.014004362254569358,1,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-04-01,4.25,4.52,-0.0028619443413040457,1,0.9402654867256638,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1991-07-01,4.07,4.56,-0.017472633560643658,1,0.892543859649123,1.1203931203931201,-1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-08-01,4.03,4.33,-0.0017133614623929816,1,0.9307159353348731,0.0,0.0,-0.04481572481572484,0.22999999999999954,0.1851842751842747,1.1203931203931201,-1.0,0.022151229089028075,0.021909454502814188
1991-09-01,4.27,4.36,-0.01088789312350702,1,0.9793577981651375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-10-01,4.26,4.21,0.009744019079107602,1,1.01187648456057,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1991-11-01,4.27,4.26,0.0022229994228695205,1,1.0023474178403755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-14,4.24,3.89,-0.008761784821003538,1,1.089974293059126,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1991-01-15,4.23,3.81,0.003960274729827518,1,1.110236220472441,-1.0,1.110236220472441,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1991-01-16,4.19,3.74,0.007747300219682174,1,1.1203208556149733,-1.0,1.1203208556149733,0.040000000000000036,-0.0777165354330707,-0.03771653543307066,-1.0,1.110236220472441,-0.0047561835350656565,-0.004767530168050646
