Date,P1,P2,Reg,Ratio,True Ratio,Weight P1,Weight P2,Earnings P1,Earnings P2,Total Daily Earnings,prev_weight_p1,prev_weight_p2,Strategy Daily Returns,Log returns
1989-07-26,10.7875,20.8125,0.012412166554151227,0.5,0.5183183183183183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-07-27,10.9412,21.1875,0.011587683332345833,0.5,0.5163988200589971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-07-28,10.9412,21.1875,0.0004677405294737369,0.5,0.5163988200589971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-07-31,11.31,21.625,0.0114207248062419,0.5,0.5230057803468209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-01,11.4329,21.5,-0.00675531322396683,0.5,0.5317627906976744,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1989-08-02,11.6788,21.8125,0.0017148923675449623,0.5,0.53541776504298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-03,11.5559,21.75,0.0011609683779187918,0.5,0.5313057471264367,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1989-08-04,11.3407,21.6875,-0.0023814375382187336,0.5,0.5229141210374639,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1989-08-07,11.4637,21.625,0.01583694559464366,0.5,0.5301132947976879,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1989-08-08,11.6788,21.8125,-0.00017173278421012128,0.5,0.53541776504298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-09,11.5559,21.6875,-0.0069224306651971546,0.5,0.5328368876080691,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1989-08-10,11.4944,21.6875,0.003768758326652133,0.5,0.5300011527377522,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-11,11.1871,21.3125,-0.010130102933669782,0.5,0.5249079178885631,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1989-08-14,11.1256,20.9375,-0.004885150744565969,0.5,0.5313719402985074,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1989-08-15,11.2485,20.875,0.004798124854309194,0.5,0.5388502994011976,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1989-08-16,11.4944,21.0625,0.0027521491363584616,0.5,0.5457281899109793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-17,11.2793,20.875,-0.0035066909331415985,0.5,0.540325748502994,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1989-08-18,11.2178,20.875,0.004576534462152004,0.5,0.5373796407185629,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-21,11.0641,20.3125,-0.015611209717874885,0.5,0.5446941538461538,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1989-08-22,11.2793,20.5,0.001525240080980872,0.5,0.550209756097561,-1.0,0.550209756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-23,11.1871,20.5,0.010234966658356548,0.5,0.5457121951219511,0.0,0.0,0.09220000000000006,0.0,0.09220000000000006,-1.0,0.550209756097561,0.0029097014242388877,0.002905476436700534
1989-08-24,11.1871,20.5,0.01959213511348068,0.5,0.5457121951219511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-25,11.3407,20.75,-0.0028488424486505792,0.5,0.5465397590361446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-28,11.3715,20.875,0.004469058547603488,0.5,0.5447425149700599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-29,11.5559,21.375,-0.006410917630588209,0.5,0.5406269005847953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-30,11.7403,21.4375,0.0023126678782539045,0.5,0.5476524781341108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-08-31,11.6173,21.5,0.0022788786389948967,0.5,0.5403395348837209,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-09-01,11.5559,21.625,0.006466456634777629,0.5,0.5343768786127168,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-09-05,11.7403,21.625,-0.003313089722960072,0.5,0.5429040462427746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-09-06,11.5251,21.25,-0.009461455591124768,0.5,0.5423576470588235,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1989-09-07,11.4329,20.8125,-0.002551643466478737,0.5,0.5493285285285285,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1989-09-08,11.5251,21.1875,0.0011762850834866612,0.5,0.5439575221238938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-09-11,11.4329,21.375,-0.0031590158662204715,0.5,0.534872514619883,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-09-12,11.4944,21.25,0.002986962988210884,0.5,0.5409129411764706,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1989-09-13,11.5251,20.875,-0.00933509141646649,0.5,0.5521005988023953,-1.0,0.5521005988023953,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1989-09-14,11.2793,20.4375,-0.00668005156037399,0.5,0.5518923547400612,-1.0,0.5518923547400612,0.2458000000000009,-0.2415440119760479,0.004255988023952995,-1.0,0.5521005988023953,0.0001341871823119922,0.0001341781800173221
1989-09-15,11.2793,20.5,0.00552150424895359,0.5,0.550209756097561,-1.0,0.550209756097561,-0.0,0.034506287425149704,0.034506287425149704,-1.0,0.5521005988023953,0.001085810179115012,0.0010852211136126932
1989-09-18,11.31,20.3125,0.004828064135075749,0.5,0.5568000000000001,-1.0,0.5568000000000001,-0.030700000000001282,-0.10351886227544911,-0.13421886227545038,-1.0,0.5521005988023953,-0.004244410222956767,-0.004253443301147859
1989-09-19,11.2793,20.1875,-0.0005192707248005135,0.5,0.5587269349845201,-1.0,0.5587269349845201,0.030700000000001282,-0.06901257485029941,-0.038312574850298126,-1.0,0.5521005988023953,-0.0012175554822955663,-0.0012182973051732277
1989-09-20,11.4329,20.5,-0.000230873568887624,0.5,0.5577024390243902,-1.0,0.5577024390243902,-0.15360000000000085,0.17253143712574853,0.018931437125747685,-1.0,0.5521005988023953,0.0005928505436633592,0.000592674877205739
1989-09-21,11.31,20.25,-0.002224887867527059,0.5,0.5585185185185185,-1.0,0.5585185185185185,0.12289999999999957,-0.13802514970059881,-0.01512514970059925,-1.0,0.5521005988023953,-0.00047925062422684564,-0.0004793655015120411
1989-09-22,11.3407,20.25,0.0038975148580142616,0.5,0.5600345679012345,-1.0,0.5600345679012345,-0.030699999999999505,0.0,-0.030699999999999505,-1.0,0.5521005988023953,-0.0009718049932416663,-0.0009722775018630832
1989-09-25,11.4329,20.375,-0.008158823177542018,0.5,0.5611239263803681,-1.0,0.5611239263803681,-0.09220000000000006,0.06901257485029941,-0.023187425149700652,-1.0,0.5521005988023953,-0.0007289832132803691,-0.0007292490507449161
1989-09-26,11.31,20.25,0.0002904612545107099,0.5,0.5585185185185185,-1.0,0.5585185185185185,0.12289999999999957,-0.06901257485029941,0.05388742514970016,-1.0,0.5521005988023953,0.0017074596055038072,0.001706003553549212
1989-09-27,11.0949,20.0,0.002233730241395726,0.5,0.554745,-1.0,0.554745,0.21509999999999962,-0.13802514970059881,0.07707485029940081,-1.0,0.5521005988023953,0.0024786974809181185,0.0024756305772226893
1989-09-28,10.7875,19.4375,0.010090902981962913,0.5,0.554983922829582,-1.0,0.554983922829582,0.30740000000000123,-0.31055658682634735,-0.0031565868263461194,-1.0,0.5521005988023953,-0.00010443628871285755,-0.00010444174256174015
1989-09-29,10.8183,19.75,0.0015764962061242116,0.5,0.5477620253164557,0.0,0.0,-0.03080000000000105,0.17253143712574853,0.14173143712574748,-1.0,0.5521005988023953,0.004636549534182388,0.004625833848164042
1989-10-02,10.9412,19.875,0.004914155199405634,0.5,0.5505006289308176,-1.0,0.5505006289308176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-10-03,11.0334,20.125,0.010884769729734067,0.5,0.5482434782608696,0.0,0.0,-0.09220000000000006,0.1376251572327044,0.04542515723270435,-1.0,0.5505006289308176,0.0014578783645085866,0.0014568166915803831
1989-10-04,11.1563,20.5,0.006267146206685226,0.5,0.544209756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-10-05,11.1256,20.375,8.404420730201423e-05,0.5,0.5460417177914111,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1989-10-06,11.0641,20.375,0.005057642635772908,0.5,0.5430233128834355,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-10-09,10.9105,20.1875,0.0028389342454886446,0.5,0.5404582043343653,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1989-10-10,10.8183,20.3125,-0.0018638815850451351,0.5,0.5325932307692308,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-10-11,10.7568,20.0,-0.0059766697485512665,0.5,0.53784,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1989-10-12,10.7261,19.9375,-0.004491992168220271,0.5,0.5379862068965517,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
